#NodeName,Shelf/Slot/Port,Equipment(Type),Wavelength(Lambda),Origin(Flag),Parameter,ANS Value,CardReading,DHI
Site1,1.0/1.0/6.0,LINE(40-SMR2-C) (DROP TX),,IMPORTED,Channel Power,-10.0,,RED
Site1,1.0/1.0/7.0,LINE(40-SMR2-C) (LINE RX),,IMPORTED,Channel LOS Threshold,-19.1,-35.6,RED
Site1,1.0/1.0/7.0,LINE(40-SMR2-C) (LINE RX),,IMPORTED,OSC LOS Threshold,-19.3,-21.0,RED
Site1,1.0/1.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Gain,17.0,,RED
Site1,1.0/1.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site1,1.0/1.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Tilt,-0.4,,YELLOW
Site1,1.0/1.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Channel Power,1.0,,YELLOW
Site1,1.0/1.0/10.0,LINE(40-SMR2-C) (EXP RX 1-2),,IMPORTED,Channel LOS Threshold,-16.3,-13.0,RED
Site1,1.0/1.0/11.0,LINE(40-SMR2-C) (EXP RX 1-3),,IMPORTED,Channel LOS Threshold,-16.3,-13.0,RED
Site1,1.0/1.0/12.0,LINE(40-SMR2-C) (EXP RX 1-4),,IMPORTED,Channel LOS Threshold,-16.3,-13.0,RED
Site1,1.0/17.0/6.0,LINE(40-SMR2-C) (DROP TX),,IMPORTED,Channel Power,-11.1,,RED
Site1,1.0/17.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Gain,17.0,,RED
Site1,1.0/17.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site1,1.0/17.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Tilt,-2.3,,RED
Site1,1.0/17.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Channel Power,1.0,,YELLOW
Site1,2.0/1.0/6.0,LINE(40-SMR2-C) (DROP TX),,IMPORTED,Channel Power,-10.1,,RED
Site1,2.0/1.0/7.0,LINE(40-SMR2-C) (LINE RX),,IMPORTED,Channel LOS Threshold,-17.7,-30.3,RED
Site1,2.0/1.0/7.0,LINE(40-SMR2-C) (LINE RX),,IMPORTED,OSC LOS Threshold,-22.7,-16.2,RED
Site1,2.0/1.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Gain,17.0,,RED
Site1,2.0/1.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site1,2.0/1.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Tilt,1.9,,RED
Site1,2.0/1.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Channel Power,1.0,,YELLOW
Site1,2.0/1.0/10.0,LINE(40-SMR2-C) (EXP RX 1-2),,IMPORTED,Channel LOS Threshold,-16.3,-13.0,RED
Site1,2.0/1.0/11.0,LINE(40-SMR2-C) (EXP RX 1-3),,IMPORTED,Channel LOS Threshold,-16.3,-13.0,RED
Site1,2.0/1.0/12.0,LINE(40-SMR2-C) (EXP RX 1-4),,IMPORTED,Channel LOS Threshold,-16.3,-13.0,RED
Site1,2.0/8.0/3.0,LINE(OSCM) (OSC TX),,IMPORTED,OSC Power,-10.0,,RED
Site1,2.0/10.0/3.0,LINE(OSCM) (OSC TX),,IMPORTED,OSC Power,-10.0,,RED
Site1,2.0/17.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Gain,17.0,,RED
Site1,2.0/17.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site1,2.0/17.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Channel Power,1.0,,YELLOW
Site2,1.0/1.0/2.0,LINE(40-SMR1-C) (EXP TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site2,1.0/1.0/8.0,LINE(40-SMR1-C) (DROP TX),,IMPORTED,Channel Power,-9.8,,RED
Site2,1.0/1.0/10.0,LINE(40-SMR1-C) (LINE TX),,IMPORTED,Channel Power,-14.3,,RED
Site2,1.0/16.0/2.0,LINE(40-SMR1-C) (EXP TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site2,1.0/16.0/8.0,LINE(40-SMR1-C) (DROP TX),,IMPORTED,Channel Power,-11.1,,RED
Site2,1.0/16.0/10.0,LINE(40-SMR1-C) (LINE TX),,IMPORTED,Channel Power,-16.0,,RED
Site2,1.0/17.0/6.0,LINE(OPT-AMP-17-C) (LINE TX),,IMPORTED,Gain,17.0,,RED
Site2,1.0/17.0/6.0,LINE(OPT-AMP-17-C) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site3,1.0/2.0/6.0,LINE(OPT-EDFA-24) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site3,1.0/3.0/2.0,LINE(OPT-PRE) (COM TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site3,1.0/4.0/1.0,LINE(80-WXC-C) (EAD 1),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,1.0/4.0/10.0,LINE(80-WXC-C) (COM),,PROV,Channel Power,-21.6,,RED
Site3,1.0/4.0/11.0,LINE(80-WXC-C) (DROP TX),,IMPORTED,Channel Power,-11.3,,RED
Site3,1.0/4.0/13.0,LINE(80-WXC-C) (COM RX),,IMPORTED,Channel Power,1.0,,YELLOW
Site3,1.0/4.0/2.0,LINE(80-WXC-C) (EAD 2),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,1.0/4.0/3.0,LINE(80-WXC-C) (EAD 3),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,1.0/4.0/4.0,LINE(80-WXC-C) (EAD 4),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,1.0/4.0/5.0,LINE(80-WXC-C) (EAD 5),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,1.0/4.0/6.0,LINE(80-WXC-C) (EAD 6),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,1.0/4.0/7.0,LINE(80-WXC-C) (EAD 7),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,1.0/4.0/8.0,LINE(80-WXC-C) (EAD 8),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,1.0/4.0/9.0,LINE(80-WXC-C) (AD),,PROV,Channel LOS Threshold,-10.3,,RED
Site3,2.0/2.0/6.0,LINE(OPT-EDFA-24) (LINE TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site3,2.0/3.0/2.0,LINE(OPT-PRE) (COM TX),,IMPORTED,Channel Power,1.0,,YELLOW
Site3,2.0/4.0/1.0,LINE(80-WXC-C) (EAD 1),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,2.0/4.0/10.0,LINE(80-WXC-C) (COM),,IMPORTED,Channel Power,-21.2,,RED
Site3,2.0/4.0/11.0,LINE(80-WXC-C) (DROP TX),,IMPORTED,Channel Power,-10.1,,RED
Site3,2.0/4.0/13.0,LINE(80-WXC-C) (COM RX),,IMPORTED,Channel Power,1.0,,YELLOW
Site3,2.0/4.0/2.0,LINE(80-WXC-C) (EAD 2),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,2.0/4.0/3.0,LINE(80-WXC-C) (EAD 3),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,2.0/4.0/4.0,LINE(80-WXC-C) (EAD 4),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,2.0/4.0/5.0,LINE(80-WXC-C) (EAD 5),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,2.0/4.0/6.0,LINE(80-WXC-C) (EAD 6),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,2.0/4.0/7.0,LINE(80-WXC-C) (EAD 7),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,2.0/4.0/8.0,LINE(80-WXC-C) (EAD 8),,IMPORTED,Channel LOS Threshold,-19.0,,RED
Site3,2.0/4.0/9.0,LINE(80-WXC-C) (AD),,IMPORTED,Channel LOS Threshold,-10.3,,RED
