#NodeName,Shelf/Slot/Port,Equipment(Type),Wavelength(Lambda),Origin(Flag),Parameter,Actual Power,CTP Loss Threshold,DHI
Site1,1.0/1.0/,LINEWL,1546.92 (ADD Power),,,-3.3 (OPWR),,RED
Site1,1.0/1.0/6.0,LINE(40-SMR2-C) (DROP TX),,IMPORTED,Channel Power,-10.0,-10.6,YELLOW
Site1,1.0/1.0/,LINEWL,1546.92 (DROP Power),,,-10.6 (OPWR),,RED
Site1,1.0/1.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Gain,17.0,17.0,YELLOW
Site1,1.0/1.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site1,1.0/1.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site1,1.0/8.0/3.0,LINE(OSCM) (OSC TX),,IMPORTED,OSC Power,-0.1,0.0,RED
Site1,1.0/10.0/3.0,LINE(OSCM) (OSC TX),,IMPORTED,OSC Power,-0.1,0.0,RED
Site1,1.0/17.0/5.0,LINE(40-SMR2-C) (ADD RX),,IMPORTED,Channel LOS Threshold,-50.0,-10.3,RED
Site1,1.0/17.0/,LINEWL,1546.92 (ADD Power),,,-50.0 (OPWR),,RED
Site1,1.0/17.0/6.0,LINE(40-SMR2-C) (DROP TX),,IMPORTED,Channel Power,-11.1,-11.1,YELLOW
Site1,1.0/17.0/,LINEWL,1546.92 (DROP Power),,,-29.8 (OPWR),,RED
Site1,1.0/17.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Gain,17.0,17.0,YELLOW
Site1,1.0/17.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site1,1.0/17.0/,LINEWL,1546.92 (OUT-LINE Power),,,-29.2 (OPWR),,RED
Site1,1.0/17.0/9.0,LINE(40-SMR2-C) (EXP TX 1-1),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site1,2.0/1.0/,LINEWL,1531.12 (ADD Power),,,-0.1 (OPWR),,RED
Site1,2.0/1.0/6.0,LINE(40-SMR2-C) (DROP TX),,IMPORTED,Channel Power,-10.1,-10.0,RED
Site1,2.0/1.0/,LINEWL,1531.12 (DROP Power),,,-32.3 (OPWR),,RED
Site1,2.0/1.0/8.0,LINE(40-SMR2-C) (LINE TX),,IMPORTED,Gain,17.0,17.0,YELLOW
